ID,Name
23MIS0001,Student1
23MIS0002,Student2
23MIS0003,Student3
23MIS0004,Student4
23MIS0005,Student5
23MIS0006,Student6
23MIS0007,Student7
23MIS0008,Student8
23MIS0009,Student9
23MIS0010,Student10
23MIS0011,Student11
23MIS0012,Student12
23MIS0013,Student13
23MIS0014,Student14
23MIS0015,Student15
23MIS0016,Student16
23MIS0017,Student17
23MIS0018,Student18
23MIS0019,Student19
23MIS0020,Student20
23MIS0021,Student21
23MIS0022,Student22
23MIS0023,Student23
23MIS0024,Student24
23MIS0025,Student25
23MIS0026,Student26
23MIS0027,Student27
23MIS0028,Student28
23MIS0029,Student29
23MIS0030,Student30
23MIS0031,Student31
23MIS0032,Student32
23MIS0033,Student33
23MIS0034,Student34
23MIS0035,Student35
23MIS0036,Student36
23MIS0037,Student37
23MIS0038,Student38
23MIS0039,Student39
23MIS0040,Student40
